플랫폼,브랜드,제품명,중분류_순위,대분류,중분류,소분류,평점,후기 수,가격,URL
화해,아벤느,제라캄 뉴트리션 로션,99,스킨케어,로션_에멀젼,,4.13,60,43000.0,
화해,크리니크,드라마티컬리 디퍼런트 모이스춰라이징 젤,100,스킨케어,로션_에멀젼,,3.9,1856,58000.0,
화해,토리든,다이브인 저분자 히알루론산 세럼 100ml 기획 (+수딩크림 50ml),1,스킨케어,에센스_앰플_세럼,,4.59,53973,26900.0,
화해,웰라쥬,리얼 히알루로닉 블루 100 앰플 120ml기획(본품60ml+리필60ml),2,스킨케어,에센스_앰플_세럼,,4.65,13110,19900.0,
화해,메디힐,마데카소사이드 흔적 리페어 세럼 100ml 기획 (+패드 2매+마스크 1매),3,스킨케어,에센스_앰플_세럼,,4.55,3143,26100.0,
화해,프리메이,트리플 이펙트 시너지 세럼 기획(세럼 50ml+크림30ml),4,스킨케어,에센스_앰플_세럼,,4.64,1607,18900.0,
화해,에스네이처,아쿠아 스쿠알란 세럼 100ml + 마스크팩 1매,5,스킨케어,에센스_앰플_세럼,,4.71,8038,21900.0,
화해,아누아,피디알엔 히알루론산 캡슐 100 세럼 30ml,6,스킨케어,에센스_앰플_세럼,,4.6,1743,24900.0,
화해,토리든,밸런스풀 시카 진정 세럼 50ml 기획 (+마스크팩 2매+크림 20ml),7,스킨케어,에센스_앰플_세럼,,4.68,5108,14900.0,
화해,파티온,노스카나인 트러블 세럼 20ml 1+1 기획,8,스킨케어,에센스_앰플_세럼,,4.54,7997,21900.0,
화해,에스네이처,아쿠아 콜라겐 펩타이드 젤에센스 50ml 1+1 더블 기획 (+토너 12ml),9,스킨케어,에센스_앰플_세럼,,4.63,15336,18900.0,
화해,스킨앤랩,베리어덤 링거 앰플 100ml 기획 (70ml+30ml),10,스킨케어,에센스_앰플_세럼,,4.71,1851,19900.0,
화해,에스네이처,화이트 글로우 앰플 50ml + 50ml,11,스킨케어,에센스_앰플_세럼,,4.59,2509,21900.0,
화해,코스알엑스,더 6 펩타이드 스킨 부스터 세럼 150ml 더블기획 (+30ml*2개),12,스킨케어,에센스_앰플_세럼,,4.68,2779,29000.0,
화해,메디힐,티트리 진정 수분 앰플 73ml 기획(앰플 50ml+23ml+패드3매),13,스킨케어,에센스_앰플_세럼,,4.63,4808,17900.0,
화해,비플레인,녹두 모공 타이트업 세럼 30ml+15ml 기획,14,스킨케어,에센스_앰플_세럼,,4.55,3224,15800.0,
화해,딕셔니스트,아미노산 앰플 60ml 기획(앰플 30ml+10ml*3개+토너20ml),15,스킨케어,에센스_앰플_세럼,,4.61,4350,23900.0,
화해,토코보,시카 카밍 세럼 50ml 기획 (+크림 15ml+세럼 5ml),16,스킨케어,에센스_앰플_세럼,,4.69,1754,18900.0,
